contigName	contigLen	totalAvgDepth	totalAvgDepth_var
ctg_1824	6615	19.0045	1.9004
ctg_530	21065	69.0683	6.9068
ctg_616	17945	51.7161	5.1716
ctg_96	10453	136.0334	13.6033
ctg_640	5214	48.433	4.8433
ctg_37	52588	74.8677	7.4868
ctg_1392	57113	82.3659	8.2366
ctg_719	22542	28.5638	2.8564
ctg_1706	6892	88.4431	8.8443
ctg_1003	9583	14.8345	1.4835
ctg_1852	10235	20.4766	2.0477
ctg_1149	44885	15.1694	1.5169
ctg_1096	3872	160.9118	16.0912
ctg_30	55584	59.4226	5.9423
ctg_1773	54527	107.1785	10.7178
ctg_874	10367	97.1916	9.7192
ctg_769	10486	139.7256	13.9726
ctg_1463	23175	7.4138	0.7414
ctg_1766	48748	115.4373	11.5437
ctg_734	7280	143.2359	14.3236
ctg_1295	56246	42.4647	4.2465
ctg_1068	10300	151.926	15.1926
ctg_2195	2856	66.6048	6.6605
ctg_956	46237	63.7962	6.3796
ctg_128	42438	28.5578	2.8558
ctg_566	11067	52.9505	5.2951
ctg_1726	48244	134.4769	13.4477
ctg_516	5487	61.1018	6.1102
ctg_1690	6790	87.3032	8.7303
ctg_391	6270	56.4984	5.6498
ctg_241	44968	94.0779	9.4078
ctg_1040	2946	12.0057	1.2006
ctg_705	25102	27.007	2.7007
ctg_2170	8457	106.2311	10.6231
ctg_1192	7070	17.3034	1.7303
ctg_380	51385	95.3405	9.534
ctg_1111	45311	14.7216	1.4722
ctg_1814	6816	17.3394	1.7339
ctg_105	48667	26.9626	2.6963
ctg_285	40684	89.8072	8.9807
ctg_499	32043	51.3355	5.1335
ctg_1992	21674	17.5998	1.76
ctg_376	50778	98.2125	9.8212
ctg_564	17424	58.4437	5.8444
ctg_1112	50136	15.6671	1.5667
ctg_2185	5444	85.3646	8.5365
ctg_991	10085	133.6236	13.3624
ctg_2122	4038	99.329	9.9329
ctg_1654	2402	25.1899	2.519
ctg_482	34007	62.7327	6.2733
ctg_113	48514	34.1726	3.4173
ctg_1470	9611	7.9899	0.799
ctg_1606	7658	20.3358	2.0336
ctg_854	8124	116.9064	11.6906
ctg_622	6753	54.445	5.4445
ctg_421	7103	57.5891	5.7589
ctg_1613	2390	25.9909	2.5991
ctg_1143	52272	11.7523	1.1752
ctg_1934	3253	81.4694	8.1469
ctg_1985	21272	21.3641	2.1364
ctg_1361	54476	80.002	8.0002
ctg_1188	5735	22.6295	2.2629
ctg_2265	2259	92.7632	9.2763
ctg_2010	48008	138.4545	13.8454
ctg_1016	3903	10.8093	1.0809
ctg_848	30315	112.472	11.2472
ctg_304	46037	91.2113	9.1211
ctg_1164	16361	152.7457	15.2746
ctg_479	11862	61.2772	6.1277
ctg_958	52481	66.3454	6.6345
ctg_2035	58015	21.1238	2.1124
ctg_475	7128	59.7437	5.9744
ctg_1579	5425	22.4016	2.2402
ctg_1432	2053	68.2928	6.8293
ctg_1114	49929	13.3468	1.3347
ctg_506	11038	51.1443	5.1144
ctg_1219	5791	24.3867	2.4387
ctg_1139	52538	13.8029	1.3803
ctg_1909	2466	83.4713	8.3471
ctg_1859	8463	20.2351	2.0235
ctg_1786	45252	107.869	10.7869
ctg_377	57647	101.1666	10.1167
ctg_337	47568	86.879	8.6879
ctg_967	20814	105.9404	10.594
ctg_1587	2650	23.9067	2.3907
ctg_2115	2743	84.7365	8.4737
ctg_998	2064	10.9267	1.0927
ctg_1308	48381	44.5588	4.4559
ctg_1650	2173	26.8714	2.6871
ctg_215	48307	90.733	9.0733
ctg_239	48835	88.559	8.8559
ctg_534	9527	58.5604	5.856
ctg_2179	2100	107.2726	10.7273
ctg_1468	8148	7.2011	0.7201
ctg_1897	10416	79.5593	7.9559
ctg_2242	51643	123.7588	12.3759
ctg_1550	3050	26.4859	2.6486
ctg_883	45034	16.0972	1.6097
ctg_1301	48315	62.7074	6.2707
ctg_1011	2034	12.1641	1.2164
ctg_1055	48136	82.6975	8.2698
ctg_1174	51644	88.2193	8.8219
ctg_1653	2810	25.3008	2.5301
ctg_2130	6965	93.8623	9.3862
ctg_1506	5250	155.357	15.5357
ctg_1204	5123	25.4882	2.5488
ctg_387	8313	54.1586	5.4159
ctg_850	8301	106.5448	10.6545
ctg_1728	50144	123.8715	12.3872
ctg_738	5713	149.2394	14.9239
ctg_2101	7728	104.2508	10.4251
ctg_1283	51937	43.5324	4.3532
ctg_325	53384	111.8148	11.1815
ctg_272	48459	84.2721	8.4272
ctg_653	5487	72.2861	7.2286
ctg_108	56523	27.7722	2.7772
ctg_1772	52986	113.2477	11.3248
ctg_1346	44612	70.4505	7.045
ctg_936	16835	45.1988	4.5199
ctg_581	5374	60.4434	6.0443
ctg_1378	47924	84.2266	8.4227
ctg_1414	34116	56.3523	5.6352
ctg_1618	4893	26.2619	2.6262
ctg_89	14522	146.2101	14.621
ctg_1094	2674	167.5451	16.7545
ctg_1028	4506	13.7517	1.3752
ctg_1217	6593	24.2613	2.4261
ctg_2109	2711	86.4862	8.6486
ctg_1634	10343	24.6492	2.4649
ctg_561	9158	62.1065	6.2106
ctg_1144	54413	13.2876	1.3288
ctg_1762	46640	107.3438	10.7344
ctg_1921	4850	80.7548	8.0755
ctg_712	23648	23.9635	2.3963
ctg_572	13219	63.821	6.3821
ctg_498	22635	50.8516	5.0852
ctg_2244	42071	122.0332	12.2033
ctg_1097	4304	137.7618	13.7762
ctg_1848	6644	21.6092	2.1609
ctg_1630	4132	26.9349	2.6935
ctg_1434	2342	67.6783	6.7678
ctg_480	5956	57.3899	5.739
ctg_1402	48049	74.5214	7.4521
ctg_716	20795	30.1565	3.0156
ctg_276	52048	93.8551	9.3855
ctg_1509	5270	140.4192	14.0419
ctg_993	7772	15.6145	1.5615
ctg_1302	46772	53.3053	5.3305
ctg_1681	9004	74.6436	7.4644
ctg_1718	49617	123.5596	12.356
ctg_2228	45590	122.3988	12.2399
ctg_1135	54421	13.636	1.3636
ctg_1948	11175	84.947	8.4947
ctg_1202	7001	21.3033	2.1303
ctg_1764	52092	126.7088	12.6709
ctg_870	46445	87.8977	8.7898
ctg_876	52642	6.4828	0.6483
ctg_262	49508	93.0356	9.3036
ctg_1022	4499	15.057	1.5057
ctg_409	9108	56.5039	5.6504
ctg_1406	2194	81.2789	8.1279
ctg_2237	51367	104.2016	10.4202
ctg_26	59666	62.4553	6.2455
ctg_495	9048	58.796	5.8796
ctg_1084	8435	137.8345	13.7835
ctg_607	15297	57.8081	5.7808
ctg_2105	5933	101.6344	10.1634
ctg_230	53207	84.9073	8.4907
ctg_88	6015	145.7629	14.5763
ctg_1047	44391	81.9143	8.1914
ctg_2253	45463	126.7003	12.67
ctg_1793	5521	21.5119	2.1512
ctg_829	8739	154.2117	15.4212
ctg_702	14071	26.0443	2.6044
ctg_98	5996	148.8333	14.8833
ctg_1576	3681	24.7849	2.4785
ctg_864	47851	83.9902	8.399
ctg_1760	52934	124.638	12.4638
ctg_2003	50711	141.7282	14.1728
ctg_1962	46495	187.7177	18.7718
ctg_613	9623	64.8137	6.4814
ctg_412	11131	55.806	5.5806
ctg_1813	5212	22.4711	2.2471
ctg_174	23312	124.9705	12.4971
ctg_2151	11134	96.0458	9.6046
ctg_303	48741	80.4003	8.04
ctg_903	19528	45.0295	4.5029
ctg_1207	5937	23.1029	2.3103
ctg_490	5085	50.9601	5.096
ctg_1517	6041	109.5089	10.9509
ctg_497	12164	72.9817	7.2982
ctg_893	3495	14.6688	1.4669
ctg_503	6025	71.1318	7.1132
ctg_1894	6958	73.7346	7.3735
ctg_926	2702	49.4751	4.9475
ctg_2046	48624	35.9766	3.5977
ctg_1789	46368	125.0441	12.5044
ctg_788	7985	138.4795	13.8479
ctg_1708	45665	6.8741	0.6874
ctg_489	5049	58.6202	5.862
ctg_592	5960	60.0666	6.0067
ctg_1975	9901	24.2327	2.4233
ctg_742	11810	151.2756	15.1276
ctg_1574	8868	26.3124	2.6312
ctg_1389	53144	80.5077	8.0508
ctg_2194	5122	57.685	5.7685
ctg_2172	2312	119.154	11.9154
ctg_1230	6659	17.022	1.7022
ctg_570	5574	49.9958	4.9996
ctg_1025	2760	12.9643	1.2964
ctg_1255	6777	22.6064	2.2606
ctg_808	6255	129.1166	12.9117
ctg_492	8826	59.1705	5.917
ctg_1119	37893	15.3394	1.5339
ctg_1386	49646	69.2103	6.921
ctg_1454	2526	7.2223	0.7222
ctg_878	2630	8.3766	0.8377
ctg_1850	8964	23.1265	2.3126
ctg_1655	2231	26.836	2.6836
ctg_352	55746	96.3992	9.6399
ctg_172	54038	113.9501	11.395
ctg_417	7863	58.1297	5.813
ctg_2154	7868	85.8644	8.5864
ctg_1015	2750	14.0695	1.4069
ctg_1328	54632	70.2904	7.029
ctg_1960	46910	110.0758	11.0076
ctg_752	5931	151.5337	15.1534
ctg_1731	41830	118.1944	11.8194
ctg_2147	7363	103.873	10.3873
ctg_62	41995	57.6697	5.767
ctg_2208	50845	67.5191	6.7519
ctg_565	6459	54.0818	5.4082
ctg_997	5721	12.7768	1.2777
ctg_974	42013	107.7944	10.7794
ctg_1171	9430	121.9807	12.1981
ctg_1747	46426	119.6772	11.9677
ctg_2176	9291	105.3426	10.5343
ctg_600	14818	56.9058	5.6906
ctg_612	6911	51.9769	5.1977
ctg_1466	9773	6.0263	0.6026
ctg_31	48270	75.6984	7.5698
ctg_1424	3065	60.9781	6.0978
ctg_1652	3500	23.3964	2.3396
ctg_872	20371	120.4402	12.044
ctg_8	48029	49.6968	4.9697
ctg_2203	21049	68.1422	6.8142
ctg_602	5228	72.7022	7.2702
ctg_135	47868	31.6923	3.1692
ctg_158	51524	36.8607	3.6861
ctg_186	51771	112.783	11.2783
ctg_71	48709	63.7387	6.3739
ctg_2209	16569	62.6913	6.2691
ctg_2284	8243	113.3599	11.336
ctg_654	11579	52.8807	5.2881
ctg_685	16903	26.6696	2.667
ctg_1368	53033	68.4342	6.8434
ctg_2054	44172	37.4603	3.746
ctg_80	50835	62.4567	6.2457
ctg_157	49425	32.6577	3.2658
ctg_1833	5847	20.3379	2.0338
ctg_1756	57518	109.9823	10.9982
ctg_828	6724	143.5751	14.3575
ctg_661	17299	55.5978	5.5598
ctg_1322	50329	81.5328	8.1533
ctg_401	5168	62.2974	6.2297
ctg_1218	5758	23.8864	2.3886
ctg_732	7472	155.7104	15.571
ctg_434	18957	53.0633	5.3063
ctg_86	12199	135.5023	13.5502
ctg_1195	6183	21.5047	2.1505
ctg_195	56290	107.4639	10.7464
ctg_289	47712	90.9995	9.0999
ctg_2111	6770	106.168	10.6168
ctg_825	6787	143.1344	14.3134
ctg_2129	2977	104.8683	10.4868
ctg_529	8558	53.7702	5.377
ctg_1881	5167	21.1422	2.1142
ctg_1241	5222	22.6269	2.2627
ctg_2291	5753	110.4766	11.0477
ctg_1584	2926	22.1076	2.2108
ctg_718	23655	27.4567	2.7457
ctg_1062	6122	139.3806	13.9381
ctg_2152	9555	96.6918	9.6692
ctg_478	7778	68.6471	6.8647
ctg_2166	2161	90.0076	9.0008
ctg_1343	45881	62.8808	6.2881
ctg_683	20776	23.6508	2.3651
ctg_681	24731	24.5585	2.4558
ctg_2024	47922	98.4717	9.8472
ctg_1917	3323	87.4187	8.7419
ctg_690	13308	28.9147	2.8915
ctg_776	5770	156.1561	15.6156
ctg_320	51470	89.9585	8.9958
ctg_1390	51003	71.1679	7.1168
ctg_1010	9711	15.4826	1.5483
ctg_1572	3854	21.0918	2.1092
ctg_1886	5591	89.1598	8.916
ctg_904	10836	49.3301	4.933
ctg_813	5468	163.3839	16.3384
ctg_1422	2775	71.5123	7.1512
ctg_544	6104	58.3597	5.836
ctg_1350	45212	70.8462	7.0846
ctg_741	9095	152.2969	15.2297
ctg_1530	2821	32.0576	3.2058
ctg_1005	5384	14.204	1.4204
ctg_1614	4027	24.3073	2.4307
ctg_1798	8759	22.6778	2.2678
ctg_148	47732	30.475	3.0475
ctg_471	9086	63.5845	6.3584
ctg_1491	5049	100.4251	10.0425
ctg_1154	46749	148.1266	14.8127
ctg_130	51855	31.8421	3.1842
ctg_1178	48359	73.6826	7.3683
ctg_784	15054	148.7247	14.8725
ctg_866	22924	122.4201	12.242
ctg_359	47519	91.2987	9.1299
ctg_1033	5526	12.2345	1.2234
ctg_1235	7250	20.7029	2.0703
ctg_288	55410	92.7889	9.2789
ctg_1032	2159	14.9079	1.4908
ctg_44	58723	57.3029	5.7303
ctg_2188	2263	105.0469	10.5047
ctg_1986	6596	20.0508	2.0051
ctg_1180	21423	88.8452	8.8845
ctg_1289	56875	46.1411	4.6141
ctg_2160	2163	90.228	9.0228
ctg_1971	5226	19.0748	1.9075
ctg_1822	6546	19.1548	1.9155
ctg_1125	38925	16.4835	1.6484
ctg_28	49064	59.9199	5.992
ctg_1464	3436	8.0664	0.8066
ctg_703	10919	26.7805	2.678
ctg_855	51063	115.5299	11.553
ctg_199	55901	108.1741	10.8174
ctg_1375	49137	71.6257	7.1626
ctg_1066	10095	133.6885	13.3688
ctg_849	23340	109.261	10.9261
ctg_347	49499	93.0193	9.3019
ctg_1876	8635	18.996	1.8996
ctg_348	44884	101.7969	10.1797
ctg_1287	44505	47.8148	4.7815
ctg_908	5635	55.9352	5.5935
ctg_170	48482	28.8604	2.886
ctg_764	5301	160.2951	16.0295
ctg_1020	2088	12.5631	1.2563
ctg_52	54382	54.3476	5.4348
ctg_556	10613	63.0897	6.309
ctg_953	5612	46.9756	4.6976
ctg_1320	51828	81.1331	8.1133
ctg_2026	53192	144.5598	14.456
ctg_886	58852	17.7671	1.7767
ctg_153	50786	29.9953	2.9995
ctg_1925	2216	84.3808	8.4381
ctg_1277	54863	54.457	5.4457
ctg_591	9463	48.8268	4.8827
ctg_1501	5559	113.7539	11.3754
ctg_1558	2225	22.9392	2.2939
ctg_282	53679	82.6225	8.2622
ctg_403	5363	51.9374	5.1937
ctg_459	12375	48.649	4.8649
ctg_1138	50482	12.138	1.2138
ctg_354	55212	84.6842	8.4684
ctg_1982	8354	24.4784	2.4478
ctg_686	16014	23.0966	2.3097
ctg_2080	60461	43.0048	4.3005
ctg_2240	49568	97.1304	9.713
ctg_1865	5497	20.7198	2.072
ctg_220	52292	91.2853	9.1285
ctg_751	6446	153.3521	15.3352
ctg_1778	46399	122.568	12.2568
ctg_203	54185	97.6478	9.7648
ctg_871	47744	122.9699	12.297
ctg_1913	3517	76.4879	7.6488
ctg_666	6612	57.2553	5.7255
ctg_14	43002	65.8984	6.5898
ctg_501	10824	53.8759	5.3876
ctg_1181	5704	21.631	2.1631
ctg_163	48371	32.5681	3.2568
ctg_867	57092	114.9139	11.4914
ctg_1804	5942	20.8301	2.083
ctg_569	6078	58.027	5.8027
ctg_84	9782	152.0367	15.2037
ctg_1194	9486	20.8524	2.0852
ctg_1411	3156	61.9461	6.1946
ctg_292	45003	95.119	9.5119
ctg_191	46466	89.7662	8.9766
ctg_1158	26260	156.0651	15.6065
ctg_1420	12661	61.2514	6.1251
ctg_310	54704	85.7284	8.5728
ctg_1267	9006	24.0267	2.4027
ctg_343	48854	81.6074	8.1607
ctg_1311	51443	52.5439	5.2544
ctg_474	8206	53.6271	5.3627
ctg_1979	9481	18.9264	1.8926
ctg_1821	6074	19.1733	1.9173
ctg_628	20588	56.9122	5.6912
ctg_976	42578	145.2823	14.5282
ctg_1259	6749	21.7535	2.1753
ctg_402	5881	61.7893	6.1789
ctg_1053	52444	76.8131	7.6813
ctg_1507	7191	144.6502	14.465
ctg_2092	2094	105.9647	10.5965
ctg_1586	3191	26.3091	2.6309
ctg_620	11592	40.4037	4.0404
ctg_1051	54287	86.887	8.6887
ctg_74	41503	70.7521	7.0752
ctg_179	47184	105.3744	10.5374
ctg_2124	5917	122.8436	12.2844
ctg_45	44216	70.1131	7.0113
ctg_837	3674	123.7984	12.3798
ctg_97	8786	144.3711	14.4371
ctg_313	47619	96.2112	9.6211
ctg_1007	7828	13.9242	1.3924
ctg_642	7817	48.8685	4.8868
ctg_2218	47192	119.5233	11.9523
ctg_1073	13508	158.4242	15.8424
ctg_1490	5735	109.6785	10.9678
ctg_2016	50377	149.7333	14.9733
ctg_922	9640	47.396	4.7396
ctg_868	35179	120.857	12.0857
ctg_2278	5633	104.7927	10.4793
ctg_2023	51918	126.8008	12.6801
ctg_76	58061	57.2226	5.7223
ctg_519	7086	54.1248	5.4125
ctg_2001	52093	145.5717	14.5572
ctg_1815	5138	20.7503	2.075
ctg_23	53739	74.4117	7.4412
ctg_1256	6191	21.2408	2.1241
ctg_156	46537	36.0213	3.6021
ctg_1531	2748	27.6557	2.7656
ctg_1888	5218	82.9422	8.2942
ctg_2056	49225	34.5551	3.4555
ctg_90	5273	136.417	13.6417
ctg_743	7054	129.3337	12.9334
ctg_1837	9259	19.0973	1.9097
ctg_831	19609	113.7118	11.3712
ctg_1168	4517	168.067	16.8067
ctg_520	9250	58.7022	5.8702
ctg_1522	5217	140.6417	14.0642
ctg_1743	46071	100.9612	10.0961
ctg_1413	2037	51.8265	5.1827
ctg_3	55242	55.3989	5.5399
ctg_1779	48848	106.2532	10.6253
ctg_2206	8104	54.1707	5.4171
ctg_1280	42764	53.4941	5.3494
ctg_937	23146	38.5467	3.8547
ctg_1919	10305	81.0152	8.1015
ctg_356	49956	83.0783	8.3078
ctg_845	49103	118.5477	11.8548
ctg_1974	6027	22.6206	2.2621
ctg_1173	46198	69.454	6.9454
ctg_264	45395	83.9249	8.3925
ctg_1968	9168	20.8254	2.0825
ctg_1086	9242	128.2593	12.8259
ctg_1494	5542	71.8041	7.1804
ctg_1874	5026	22.3814	2.2381
ctg_481	20247	57.3259	5.7326
ctg_1089	16076	173.2675	17.3268
ctg_1257	5318	23.4313	2.3431
ctg_1757	51408	101.4229	10.1423
ctg_1871	11909	18.2012	1.8201
ctg_860	12675	116.4339	11.6434
ctg_693	12474	28.2307	2.8231
ctg_1965	48134	148.0895	14.8089
ctg_1409	3781	64.2512	6.4251
ctg_1512	6094	135.6789	13.5679
ctg_1592	2058	28.7413	2.8741
ctg_1360	48101	72.9134	7.2913
ctg_450	8332	57.3506	5.7351
ctg_444	7048	52.7406	5.2741
ctg_1450	6508	6.5199	0.652
ctg_1300	50355	51.9493	5.1949
ctg_1879	6828	15.4638	1.5464
ctg_1791	6065	56.2325	5.6233
ctg_404	8080	61.7117	6.1712
ctg_269	48779	106.1745	10.6175
ctg_1133	46147	15.477	1.5477
ctg_1044	5831	13.1699	1.317
ctg_1695	10924	80.3206	8.0321
ctg_2061	51791	32.6545	3.2655
ctg_2073	52067	40.8792	4.0879
ctg_1370	50714	78.9399	7.894
ctg_2257	53205	124.6097	12.461
ctg_1702	9348	73.7127	7.3713
ctg_758	6318	135.9642	13.5964
ctg_1623	6335	23.9065	2.3907
ctg_2272	4634	105.7647	10.5765
ctg_315	48910	84.5072	8.4507
ctg_256	49512	86.388	8.6388
ctg_1510	5089	126.2071	12.6207
ctg_2271	43718	95.2509	9.5251
ctg_430	21904	57.7273	5.7727
ctg_2099	2185	83.6734	8.3673
ctg_453	7217	57.7502	5.775
ctg_1384	39215	71.7978	7.1798
ctg_221	51075	73.4298	7.343
ctg_151	51687	35.4994	3.5499
ctg_154	54926	31.6333	3.1633
ctg_103	12406	136.5484	13.6548
ctg_29	44391	59.87	5.987
ctg_2210	2666	68.2704	6.827
ctg_1065	11205	132.5203	13.252
ctg_1761	39733	93.5103	9.351
ctg_1997	56964	127.6776	12.7678
ctg_1941	15131	76.9648	7.6965
ctg_615	6925	54.4771	5.4477
ctg_1310	45695	44.4802	4.448
ctg_468	12580	58.2731	5.8273
ctg_454	5676	57.1318	5.7132
ctg_576	14064	60.1319	6.0132
ctg_1540	2321	26.1604	2.616
ctg_917	11758	56.3084	5.6308
ctg_875	52445	7.4312	0.7431
ctg_775	8339	128.9403	12.894
ctg_2032	48349	21.9646	2.1965
ctg_1348	56259	66.1773	6.6177
ctg_1657	6117	29.4959	2.9496
ctg_525	7790	45.4613	4.5461
ctg_812	10636	164.2826	16.4283
ctg_1456	6782	7.7704	0.777
ctg_924	19999	50.7371	5.0737
ctg_473	5993	66.3607	6.6361
ctg_1275	44747	45.8117	4.5812
ctg_1899	2521	82.099	8.2099
ctg_2173	2268	101.5027	10.1503
ctg_1849	8735	23.3159	2.3316
ctg_1258	9652	20.0924	2.0092
ctg_1213	5894	18.794	1.8794
ctg_1265	5514	26.6734	2.6673
ctg_660	20209	59.1952	5.9195
ctg_462	8672	56.2921	5.6292
ctg_575	10884	51.3648	5.1365
ctg_1340	52201	78.839	7.8839
ctg_1279	50474	41.2051	4.1205
ctg_1887	3778	89.5232	8.9523
ctg_1911	7750	85.5629	8.5563
ctg_2068	50596	36.1445	3.6145
ctg_1184	7618	22.4578	2.2458
ctg_1721	52679	98.7428	9.8743
ctg_1480	2755	6.3467	0.6347
ctg_2144	14853	101.2142	10.1214
ctg_2011	43032	133.9255	13.3926
ctg_2052	50589	38.9459	3.8946
ctg_246	51439	96.6193	9.6619
ctg_1666	2013	26.7441	2.6744
ctg_1001	3826	14.6421	1.4642
ctg_1632	2728	22.2694	2.2269
ctg_378	51585	97.5307	9.7531
ctg_1538	3092	18.8153	1.8815
ctg_820	11817	158.6676	15.8668
ctg_933	10526	55.908	5.5908
ctg_977	49334	134.6236	13.4624
ctg_1410	6299	57.7379	5.7738
ctg_604	6359	62.0327	6.2033
ctg_1429	23058	56.4045	5.6405
ctg_443	7971	60.2054	6.0205
ctg_821	7336	150.8409	15.0841
ctg_1467	8857	6.5847	0.6585
ctg_1551	3660	21.7922	2.1792
ctg_328	46699	90.206	9.0206
ctg_2078	61503	39.1729	3.9173
ctg_949	3816	44.2294	4.4229
ctg_935	3900	50.6943	5.0694
ctg_364	54278	80.4881	8.0488
ctg_2248	49485	109.3361	10.9336
ctg_1208	6156	19.7298	1.973
ctg_1376	53040	65.1857	6.5186
ctg_1116	51022	15.0349	1.5035
ctg_940	3246	53.5966	5.3597
ctg_918	5710	41.084	4.1084
ctg_2153	3048	70.9709	7.0971
ctg_118	40485	31.3017	3.1302
ctg_484	7502	52.0598	5.206
ctg_1671	2769	27.386	2.7386
ctg_946	20981	40.6094	4.0609
ctg_451	10562	56.1145	5.6114
ctg_1995	51470	116.8083	11.6808
ctg_1792	5095	21.1832	2.1183
ctg_1268	5344	19.8743	1.9874
ctg_2171	2621	119.4703	11.947
ctg_1560	3524	24.2344	2.4234
ctg_605	33064	56.1708	5.6171
ctg_1546	4263	27.9912	2.7991
ctg_1363	40342	70.5475	7.0547
ctg_802	5370	147.8936	14.7894
ctg_1090	10897	135.7645	13.5765
ctg_1684	5048	87.182	8.7182
ctg_1622	2544	25.8284	2.5828
ctg_987	6937	131.6981	13.1698
ctg_260	49950	87.7178	8.7718
ctg_899	2687	41.0321	4.1032
ctg_1120	42454	14.1672	1.4167
ctg_1935	3363	67.5961	6.7596
ctg_1987	14760	20.8462	2.0846
ctg_1041	2580	14.4465	1.4446
ctg_173	49771	119.4108	11.9411
ctg_1472	5278	7.6325	0.7633
ctg_1893	7508	93.2016	9.3202
ctg_999	4783	14.373	1.4373
ctg_985	43410	143.0985	14.3099
ctg_900	2617	50.8185	5.0819
ctg_345	50900	85.92	8.592
ctg_83	6524	134.3158	13.4316
ctg_559	18876	70.7356	7.0736
ctg_1601	5304	24.0478	2.4048
ctg_1080	7026	135.0985	13.5099
ctg_778	5864	150.1663	15.0166
ctg_1523	5476	139.866	13.9866
ctg_101	9837	137.1163	13.7116
ctg_318	49009	85.9186	8.5919
ctg_1366	47530	67.0426	6.7043
ctg_1359	52265	75.902	7.5902
ctg_374	54254	75.0341	7.5034
ctg_2103	5515	100.8201	10.082
ctg_1137	44151	15.0603	1.506
ctg_919	5278	53.7429	5.3743
ctg_1394	50251	76.1624	7.6162
ctg_1046	2953	13.1746	1.3175
ctg_1802	5493	17.7119	1.7712
ctg_1457	8200	6.0428	0.6043
ctg_814	6356	156.8316	15.6832
ctg_324	44819	93.5513	9.3551
ctg_1660	9893	24.2731	2.4273
ctg_1563	5422	23.0915	2.3091
ctg_1682	8362	86.7235	8.6724
ctg_1656	10562	23.8896	2.389
ctg_684	19904	26.0689	2.6069
ctg_1846	6692	20.1591	2.0159
ctg_1612	6829	21.7464	2.1746
ctg_1264	8950	20.9257	2.0926
ctg_1998	48881	146.454	14.6454
ctg_219	34135	82.9131	8.2913
ctg_984	46230	138.3578	13.8358
ctg_2243	53921	121.5639	12.1564
ctg_257	55886	100.8904	10.089
ctg_1337	41199	73.9114	7.3911
ctg_1562	7370	24.5432	2.4543
ctg_1900	2262	83.7762	8.3776
ctg_400	24987	64.9676	6.4968
ctg_1153	55258	167.0184	16.7018
ctg_2030	52145	121.7578	12.1758
ctg_456	7541	60.4677	6.0468
ctg_859	8989	108.4352	10.8435
ctg_261	42121	82.062	8.2062
ctg_17	45670	65.481	6.5481
ctg_190	46158	96.6981	9.6698
ctg_1745	50583	106.8241	10.6824
ctg_494	5117	55.1322	5.5132
ctg_2004	53215	100.241	10.0241
ctg_1201	28853	18.9892	1.8989
ctg_673	7496	54.9035	5.4904
ctg_2029	46863	111.2151	11.1215
ctg_1519	6582	118.5113	11.8511
